CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Cluster,ChurnRisk,CLV,Persona
12346.0,326,1,77183.6,1,1,4,114,0,High Risk,0.0,VIP Customers
12347.0,2,7,4310.0,4,4,4,444,3,Low Risk,2016.8589743589744,Budget Buyers
12348.0,75,4,1797.24,2,3,4,234,3,Low Risk,2179.878193548387,Budget Buyers
12349.0,19,1,1757.55,3,1,4,314,3,Low Risk,0.0,Budget Buyers
12350.0,310,1,334.4,1,1,2,112,1,High Risk,0.0,Loyal Customers
12352.0,36,8,2506.04,3,4,4,344,3,Low Risk,2044.1424313725488,Budget Buyers
12353.0,204,1,89.0,1,1,1,111,1,High Risk,0.0,Loyal Customers
12354.0,232,1,1079.4,1,1,3,113,1,High Risk,0.0,Loyal Customers
12355.0,214,1,459.4,1,1,2,112,1,High Risk,0.0,Loyal Customers
12356.0,23,3,2811.43,3,3,4,334,3,Low Risk,1439.0709491525422,Budget Buyers
12357.0,33,1,6207.67,3,1,4,314,3,Low Risk,0.0,Budget Buyers
12358.0,2,2,1168.06,4,2,3,423,3,Low Risk,610.6699649122806,Budget Buyers
12359.0,58,4,6372.58,2,3,4,234,3,Low Risk,938.7564086021505,Budget Buyers
12360.0,52,3,2662.06,2,3,4,234,3,Low Risk,305.4146356589147,Budget Buyers
12361.0,287,1,189.9,1,1,1,111,1,High Risk,0.0,Loyal Customers
12362.0,3,10,5226.23,4,4,4,444,3,Low Risk,1912.3548370927313,Budget Buyers
12363.0,110,2,552.0,2,2,2,222,3,High Risk,211.20000000000002,Budget Buyers
12364.0,8,4,1313.1,4,3,3,433,3,Low Risk,214.2155294117647,Budget Buyers
12365.0,291,2,641.38,1,2,2,122,1,High Risk,0.0,Loyal Customers
12367.0,4,1,168.9,4,1,1,411,3,Low Risk,0.0,Budget Buyers
12370.0,51,4,3545.69,3,3,4,334,3,Low Risk,874.7450778443114,Budget Buyers
12371.0,45,2,1887.96,3,2,4,324,3,Low Risk,27.96977777777778,Budget Buyers
12372.0,72,3,1298.04,2,3,3,233,3,Low Risk,559.1556923076923,Budget Buyers
12373.0,311,1,364.6,1,1,2,112,1,High Risk,0.0,Loyal Customers
12374.0,25,1,742.9300000000001,3,1,3,313,3,Low Risk,0.0,Budget Buyers
12375.0,11,2,457.5,4,2,2,422,3,Low Risk,156.08823529411762,Budget Buyers
12377.0,315,2,1628.12,1,2,3,123,1,High Risk,54.97548051948052,Loyal Customers
12378.0,130,1,4008.62,2,1,4,214,3,High Risk,0.0,Budget Buyers
12379.0,82,2,852.24,2,2,3,223,3,Low Risk,124.9952,Budget Buyers
12380.0,22,4,2724.81,3,3,4,334,3,Low Risk,572.9087692307693,Budget Buyers
12381.0,5,5,1845.31,4,3,4,434,3,Low Risk,406.53381226053637,Budget Buyers
12383.0,185,5,1850.56,1,3,4,134,1,High Risk,520.2752861952862,Loyal Customers
12384.0,29,2,585.27,3,2,2,322,3,Low Risk,132.95022222222224,Budget Buyers
12386.0,338,2,401.9,1,2,2,122,1,High Risk,77.70066666666666,Loyal Customers
12388.0,16,6,2780.66,4,4,4,444,3,Low Risk,1729.57052,Budget Buyers
12390.0,80,1,549.84,2,1,2,212,3,Low Risk,0.0,Budget Buyers
12391.0,22,1,460.89,3,1,2,312,3,Low Risk,0.0,Budget Buyers
12393.0,72,4,1582.6000000000001,2,3,3,233,3,Low Risk,857.2416666666667,Budget Buyers
12394.0,64,2,1272.48,2,2,3,223,3,Low Risk,480.71466666666663,Budget Buyers
12395.0,19,12,3018.63,3,4,4,344,3,Low Risk,2716.7669999999994,Budget Buyers
12397.0,36,2,2409.9,3,2,4,324,3,Low Risk,126.23285714285714,Budget Buyers
12398.0,46,1,1635.6599999999999,3,1,3,313,3,Low Risk,0.0,Budget Buyers
12399.0,119,4,1108.65,2,3,3,233,3,High Risk,355.77016949152545,Budget Buyers
12401.0,303,1,84.3,1,1,1,111,1,High Risk,0.0,Loyal Customers
12402.0,323,1,225.6,1,1,1,111,1,High Risk,0.0,Loyal Customers
12403.0,50,1,427.7,3,1,2,312,3,Low Risk,0.0,Budget Buyers
12405.0,149,1,1710.39,1,1,4,114,1,High Risk,0.0,Loyal Customers
12406.0,22,2,3415.3,3,2,4,324,3,Low Risk,349.11955555555556,Budget Buyers
12407.0,50,5,1708.1200000000001,3,3,4,334,3,Low Risk,791.2070995670997,Budget Buyers
12408.0,33,5,2888.55,3,3,4,334,3,Low Risk,1040.795,Budget Buyers
12409.0,79,3,11072.67,2,3,4,234,3,Low Risk,1046.3165229357799,Budget Buyers
12410.0,309,2,693.3299999999999,1,2,3,123,1,High Risk,0.0,Loyal Customers
12412.0,75,3,1226.88,2,3,3,233,3,Low Risk,189.06019672131148,Budget Buyers
12413.0,67,3,758.1,2,3,3,233,3,Low Risk,538.65,Budget Buyers
12414.0,217,3,562.41,1,3,2,132,1,High Risk,290.57849999999996,Loyal Customers
12415.0,24,21,124914.53,3,4,4,344,2,Low Risk,38224.544026536314,At Risk Customers
12417.0,3,9,3649.1,4,4,4,444,3,Low Risk,2018.4084375,Budget Buyers
12418.0,113,1,668.58,2,1,2,212,3,High Risk,0.0,Budget Buyers
12420.0,64,1,600.39,2,1,2,212,3,Low Risk,0.0,Budget Buyers
